Title,US Gross,Worldwide Gross,US DVD Sales,Production Budget,Release Date,Release Year,Recession data,MPAA Rating,Running Time (min),Distributor,Source,Major Genre,Creative Type,Director,Rotten Tomatoes Rating,IMDB Rating,IMDB Votes
Alex Rider: Operation Stormbreaker,659210,9351567,,40000000,13/10/2006,2006,0,PG,,Weinstein Co.,Based on Book/Short Story,Action,Contemporary Fiction,,,,
51 Birch Street,84689,84689,,350000,18/10/2006,2006,0,Not Rated,,Truly Indie,,,,,97,7.4,439
Marie Antoinette,15962471,60862471,16636006,40000000,20/10/2006,2006,0,PG-13,,Sony Pictures,Based on Book/Short Story,Drama,Dramatization,Sofia Coppola,55,6.4,31877
Flags of Our Fathers,33602376,61902376,45105366,53000000,20/10/2006,2006,0,R,,Paramount Pictures,Based on Book/Short Story,Drama,Historical Fiction,Clint Eastwood,73,7.2,42788
Flicka,21000147,21893591,49974754,15000000,20/10/2006,2006,0,PG,94,20th Century Fox,Based on Book/Short Story,Drama,Contemporary Fiction,,54,5.7,2832
The Prestige,53089891,107896006,45394364,40000000,20/10/2006,2006,0,PG-13,131,Walt Disney Pictures,Based on Book/Short Story,Thriller/Suspense,Historical Fiction,Christopher Nolan,75,8.4,207322
Running With Scissors,6775659,7213629,1877732,12000000,20/10/2006,2006,0,R,116,Sony Pictures,Based on Book/Short Story,Comedy,Dramatization,,30,6,12926
Babel,34302837,135302837,31459208,20000000,27/10/2006,2006,0,R,,Paramount Vantage,Original Screenplay,Drama,Contemporary Fiction,Alejandro Gonzalez Inarritu,69,7.6,95122
Catch a Fire,4299773,5699773,,14000000,27/10/2006,2006,0,PG-13,101,Focus Features,Based on Real Life Events,Thriller/Suspense,Dramatization,Phillip Noyce,76,6.8,5959
Saw III,80238724,163876815,47153811,10000000,27/10/2006,2006,0,R,107,Lionsgate,Original Screenplay,Horror,Contemporary Fiction,Darren Lynn Bousman,25,6.3,60784
Borat,128505958,261572744,62661576,18000000,03/11/2006,2006,0,R,83,20th Century Fox,Based on TV,Comedy,Contemporary Fiction,Larry Charles,,7.7,3612
Flushed Away,64665672,177665672,71025931,149000000,03/11/2006,2006,0,PG,85,Paramount Pictures,Original Screenplay,Comedy,Kids Fiction,Sam Fell,72,7,21334
Unknown,26403,3080493,,3700000,03/11/2006,2006,0,Not Rated,85,IFC Films,Original Screenplay,Thriller/Suspense,Contemporary Fiction,,39,6.6,11986
Volver,12899867,85599867,,9400000,03/11/2006,2006,0,R,,Sony Pictures Classics,Original Screenplay,Comedy,Contemporary Fiction,Pedro Almodovar,92,4.4,288
A Good Year,7459300,42064105,7342760,35000000,10/11/2006,2006,0,PG-13,118,20th Century Fox,Based on Book/Short Story,Drama,Contemporary Fiction,Ridley Scott,24,6.8,23149
Come Early Morning,119452,119452,,6000000,10/11/2006,2006,0,R,,IDP/Goldwyn/Roadside,Original Screenplay,Drama,Contemporary Fiction,Joey Lauren Adams,83,6.2,1511
Copying Beethoven,355968,355968,,11000000,10/11/2006,2006,0,PG-13,104,MGM,Based on Real Life Events,Drama,Dramatization,,,6.8,5017
Fur,223202,2281089,,16800000,10/11/2006,2006,0,R,121,Picturehouse,Based on Book/Short Story,Drama,Dramatization,,,,
Harsh Times,3337931,5963961,2638319,2000000,10/11/2006,2006,0,R,120,MGM,Original Screenplay,Drama,Contemporary Fiction,,48,7,26347
Stranger Than Fiction,40435190,45235190,30936711,30000000,10/11/2006,2006,0,PG-13,112,Sony Pictures,Original Screenplay,Comedy,Contemporary Fiction,Marc Forster,72,7.8,74218
Bobby,11242801,20597806,12345494,14000000,17/11/2006,2006,0,R,120,MGM,Based on Real Life Events,Drama,Dramatization,Emilio Estevez,46,7.1,23262
For Your Consideration,5549923,5549923,,12000000,17/11/2006,2006,0,PG-13,86,Warner Independent,Original Screenplay,Comedy,Contemporary Fiction,Christopher Guest,50,6.2,7780
Happy Feet,198000317,385000317,203263968,85000000,17/11/2006,2006,0,PG,108,Warner Bros.,Original Screenplay,Adventure,Kids Fiction,George Miller,74,6.7,42369
Casino Royale,167365000,596365000,79681613,102000000,17/11/2006,2006,0,PG-13,144,Sony Pictures,Based on Book/Short Story,Action,Contemporary Fiction,Martin Campbell,94,8,172936
The History Boys,2730296,13425589,,3700000,21/11/2006,2006,0,R,,Fox Searchlight,Based on Play,Comedy,Contemporary Fiction,,63,6.7,10293
DÈj‡ Vu,64038616,181038616,40502497,80000000,22/11/2006,2006,0,PG-13,126,Walt Disney Pictures,Original Screenplay,Thriller/Suspense,Science Fiction,Tony Scott,,7,66106
The Fountain,10144010,15461638,8752844,35000000,22/11/2006,2006,0,PG-13,96,Warner Bros.,Original Screenplay,Drama,Science Fiction,Darren Aronofsky,51,7.4,72562
Opal Dreams,14443,14443,,9000000,22/11/2006,2006,0,PG,,Strand,Based on Book/Short Story,Drama,Contemporary Fiction,,,6.5,468
Kurtlar vadisi - Irak,0,24906717,,8300000,24/11/2006,2006,0,,,,Original Screenplay,Action,Contemporary Fiction,,,5.7,7936
The Nativity Story,37629831,46432264,26142500,35000000,01/12/2006,2006,0,PG,102,New Line,Based on Book/Short Story,Drama,Dramatization,Catherine Hardwicke,37,6.6,4701
Turistas,7027762,14321070,3507046,10000000,01/12/2006,2006,0,R,89,20th Century Fox,Original Screenplay,Thriller/Suspense,Contemporary Fiction,,,6.9,83
Apocalypto,50866635,117785051,43318599,40000000,08/12/2006,2006,0,R,136,Walt Disney Pictures,Original Screenplay,Adventure,Historical Fiction,Mel Gibson,64,7.9,82162
Blood Diamond,57377916,171377916,62588936,100000000,08/12/2006,2006,0,R,143,Warner Bros.,Original Screenplay,Action,Historical Fiction,Edward Zwick,62,8,118925
The Holiday,63280000,205190324,71449071,85000000,08/12/2006,2006,0,PG-13,131,Sony Pictures,Original Screenplay,Romantic Comedy,Contemporary Fiction,Nancy Meyers,47,6.9,48215
Unaccompanied Minors,16655224,21949214,7060674,25000000,08/12/2006,2006,0,PG,87,Warner Bros.,Original Screenplay,Comedy,Contemporary Fiction,,,3.7,4133
Arthur et les Minimoys,15132763,110102340,13012362,80000000,15/12/2006,2006,0,PG,122,Weinstein Co.,Based on Book/Short Story,Adventure,Fantasy,Luc Besson,,5.9,7626
Charlotte's Web,82985708,143985708,83571732,82500000,15/12/2006,2006,0,G,98,Paramount Pictures,Based on Book/Short Story,Drama,Fantasy,Gary Winick,78,6.7,8028
Dreamgirls,103365956,154965956,53674555,75000000,15/12/2006,2006,0,PG-13,130,Paramount Pictures,Based on Musical/Opera,Musical,Historical Fiction,Bill Condon,78,6.6,28016
Eragon,75030163,249488115,87700229,100000000,15/12/2006,2006,0,PG,102,20th Century Fox,Based on Book/Short Story,Adventure,Fantasy,,16,5,43555
The Good German,1308696,1308696,,32000000,15/12/2006,2006,0,R,104,Warner Bros.,Based on Book/Short Story,Drama,Historical Fiction,Steven Soderbergh,32,6.1,13007
IndigËnes,320700,6877936,,18900000,15/12/2006,2006,0,Not Rated,,Weinstein Co.,Original Screenplay,Drama,Historical Fiction,,,7.2,5775
The Pursuit of Happyness,162586036,306086036,90857430,55000000,15/12/2006,2006,0,PG-13,116,Sony Pictures,Based on Real Life Events,Drama,Dramatization,Gabriele Muccino,66,7.8,77939
Letters from Iwo Jima,13756082,68756082,13625847,13000000,20/12/2006,2006,0,R,141,Warner Bros.,Based on Real Life Events,Drama,Historical Fiction,Clint Eastwood,91,8.1,56872
The Painted Veil,8060487,15118795,7574035,19400000,20/12/2006,2006,0,PG-13,125,Warner Independent,Based on Book/Short Story,Drama,Historical Fiction,,74,7.6,26331
Rocky Balboa,70269899,155720088,34669384,24000000,20/12/2006,2006,0,PG,102,MGM,,Drama,Contemporary Fiction,Sylvester Stallone,76,7.4,63717
Man cheng jin dai huang jin jia,6566773,75566773,10581873,45000000,21/12/2006,2006,0,R,113,Sony Pictures Classics,Based on Play,Action,Historical Fiction,Yimou Zhang,,7,17975
Venus,3347411,4022411,,6000000,21/12/2006,2006,0,R,95,Miramax,Original Screenplay,Drama,Contemporary Fiction,,89,,
Night at the Museum,250863268,574480841,153389976,110000000,22/12/2006,2006,0,PG,108,20th Century Fox,Based on Book/Short Story,Comedy,Fantasy,Shawn Levy,43,6.4,67133
Black Christmas,16235738,16235738,28729107,9000000,25/12/2006,2006,0,R,90,MGM,Remake,Horror,Contemporary Fiction,,15,4.3,10424
Children of Men,35552383,69450202,25345271,76000000,25/12/2006,2006,0,R,114,Universal,Based on Book/Short Story,Thriller/Suspense,Science Fiction,Alfonso Cuaron,93,8.1,158125
Perfume: The Story of a Murderer,2223293,132180323,7529604,63700000,27/12/2006,2006,0,R,147,Paramount Pictures,Based on Book/Short Story,Drama,Historical Fiction,Tom Tykwer,58,7.5,51704
The Dead Girl,19875,19875,,3300000,29/12/2006,2006,0,R,,First Look,Original Screenplay,Thriller/Suspense,Contemporary Fiction,,73,6.8,7122
Factory Girl,1661464,1661464,,7000000,29/12/2006,2006,0,R,90,MGM,Based on Real Life Events,Drama,Dramatization,,19,6.1,8680
Miss Potter,3005605,35025861,7821056,30000000,29/12/2006,2006,0,PG,92,MGM,Based on Real Life Events,Drama,Dramatization,Chris Noonan,66,7.1,10236
El Laberinto del Fauno,37634615,83234615,40776265,16000000,29/12/2006,2006,0,R,,Picturehouse,Original Screenplay,Horror,Historical Fiction,Guillermo Del Toro,,8.4,153762
Code Name: The Cleaner,8135024,8135024,4492233,20000000,05/01/2007,2007,0,PG-13,91,New Line,Original Screenplay,Comedy,Contemporary Fiction,Les Mayfield,4,4,5277
Freedom Writers,36605602,43090741,20532539,21000000,05/01/2007,2007,0,PG-13,122,Paramount Pictures,Based on Book/Short Story,Drama,Dramatization,Richard LaGravenese,69,7.5,18065
Happily N'Ever After,15849032,38344430,16559473,47000000,05/01/2007,2007,0,PG,,Lionsgate,Original Screenplay,Comedy,Kids Fiction,,,3.9,4678
Thr3e,1008849,1060418,,2400000,05/01/2007,2007,0,PG-13,,The Bigger Picture,Based on Book/Short Story,Thriller/Suspense,Contemporary Fiction,,5,5,2825
Stomp the Yard,61356221,76356221,33252252,14000000,12/01/2007,2007,0,PG-13,113,Sony/Screen Gems,Original Screenplay,Drama,Contemporary Fiction,,26,4.3,13737
Epic Movie,39739367,86858578,16839362,20000000,26/01/2007,2007,0,PG-13,86,20th Century Fox,Original Screenplay,Comedy,Contemporary Fiction,Jason Friedberg,2,2.2,48975
Smokin' Aces,35662731,56047261,35817034,17000000,26/01/2007,2007,0,R,108,Universal,Original Screenplay,Comedy,Contemporary Fiction,Joe Carnahan,28,6.6,57313
Hannibal Rising,27669725,80583311,23365803,50000000,09/02/2007,2007,0,R,121,Weinstein Co.,Based on Book/Short Story,Thriller/Suspense,Historical Fiction,Peter Webber,15,6,28690
The Last Sin Eater,388390,388390,,2200000,09/02/2007,2007,0,PG-13,,20th Century Fox,Based on Book/Short Story,Drama,Historical Fiction,,19,5.7,1012
Das Leben der Anderen,11284657,75284657,4225830,2000000,09/02/2007,2007,0,R,,Sony Pictures Classics,Original Screenplay,Drama,Historical Fiction,,,8.5,75070
Music and Lyrics,50572589,145556146,21145518,40000000,14/02/2007,2007,0,PG-13,96,Warner Bros.,Original Screenplay,Romantic Comedy,Contemporary Fiction,,63,6.6,32307
Ghost Rider,115802596,237702596,103730683,120000000,16/02/2007,2007,0,PG-13,110,Sony Pictures,Based on Comic/Graphic Novel,Action,Super Hero,Mark Steven Johnson,26,5.2,63235
Bridge to Terabithia,82234139,136934139,41383048,25000000,16/02/2007,2007,0,PG,95,Walt Disney Pictures,Based on Book/Short Story,Drama,Fantasy,,85,7.4,34482
The Astronaut Farmer,11003643,11003643,13774930,13000000,23/02/2007,2007,0,PG,109,Warner Bros.,Original Screenplay,Drama,Contemporary Fiction,Michael Polish,,6.4,10506
The Number 23,35193167,76593167,27576238,32000000,23/02/2007,2007,0,R,95,New Line,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Joel Schumacher,8,6.2,59174
Reno 911!: Miami,20342161,20342161,16323972,10000000,23/02/2007,2007,0,R,81,20th Century Fox,Based on TV,Comedy,Contemporary Fiction,,35,5.8,15684
Black Snake Moan,9396870,9396870,12540785,15000000,02/03/2007,2007,0,R,115,Paramount Vantage,Original Screenplay,Drama,Contemporary Fiction,,66,7.1,28145
Zodiac,33080084,83080084,20983030,85000000,02/03/2007,2007,0,R,157,Paramount Pictures,Based on Book/Short Story,Thriller/Suspense,Dramatization,David Fincher,89,,
300,210614939,456068181,261252400,60000000,09/03/2007,2007,0,R,117,Warner Bros.,Based on Comic/Graphic Novel,Action,Historical Fiction,Zack Snyder,60,7.8,235508
The Namesake,13610521,20180109,9364773,8500000,09/03/2007,2007,0,PG-13,122,Fox Searchlight,Based on Book/Short Story,Drama,Contemporary Fiction,Mira Nair,,7.5,9700
Gwoemul,2201923,89006691,,12000000,09/03/2007,2007,0,R,,Magnolia Pictures,Original Screenplay,Action,Science Fiction,,,7.1,26783
I Think I Love My Wife,12559771,13205411,13566229,14000000,16/03/2007,2007,0,R,94,Fox Searchlight,Remake,Romantic Comedy,Contemporary Fiction,Chris Rock,19,5.5,8643
Nomad,79123,79123,,40000000,16/03/2007,2007,0,R,,Weinstein Co.,Original Screenplay,Drama,Historical Fiction,,,5.5,1224
Premonition,47852604,81461343,33241945,20000000,16/03/2007,2007,0,PG-13,97,Sony Pictures,Original Screenplay,Thriller/Suspense,Contemporary Fiction,,8,,
Journey from the Fall,635305,635305,,1300000,23/03/2007,2007,0,R,,Imaginasian,Original Screenplay,Drama,Historical Fiction,,92,7.2,586
Namastey London,1207007,6831069,,8400000,23/03/2007,2007,0,Not Rated,,Eros Entertainment,Original Screenplay,Romantic Comedy,Contemporary Fiction,,,6.7,1511
The Hills Have Eyes II,20804166,37466538,30512461,15000000,23/03/2007,2007,0,R,88,20th Century Fox,Remake,Horror,Fantasy,,,5,17948
Reign Over Me,19661987,20081987,16021076,20000000,23/03/2007,2007,0,R,128,Sony Pictures,Original Screenplay,Drama,Historical Fiction,Mike Binder,63,7.7,39234
Shooter,47003582,95203582,57333255,60000000,23/03/2007,2007,0,R,125,Paramount Pictures,Based on Book/Short Story,Thriller/Suspense,Contemporary Fiction,Antoine Fuqua,48,7.2,149
TMNT,54149098,95009888,30836109,35000000,23/03/2007,2007,0,PG,88,Warner Bros.,Based on Comic/Graphic Novel,Action,Science Fiction,,,6.6,26178
Blades of Glory,118594548,145594548,49219041,61000000,30/03/2007,2007,0,PG-13,94,Paramount Pictures,Original Screenplay,Comedy,Contemporary Fiction,,69,6.5,51929
The Reaping,25126214,62226214,19812272,40000000,05/04/2007,2007,0,R,100,Warner Bros.,Original Screenplay,Horror,Fantasy,Stephen Hopkins,8,5.6,19881
Zwartboek,4398392,4398392,,22000000,06/04/2007,2007,0,R,,Sony Pictures Classics,Based on Real Life Events,Thriller/Suspense,Historical Fiction,Paul Verhoeven,,8,27288
Grindhouse,25031037,50187789,31070911,53000000,06/04/2007,2007,0,R,191,Weinstein/Dimension,Original Screenplay,Horror,Fantasy,Robert Rodriguez,,7.9,82770
The Hoax,7164995,7164995,,25000000,06/04/2007,2007,0,R,,Walt Disney Pictures,Based on Real Life Events,Drama,Dramatization,Lasse Hallstrom,85,6.9,9171
Aqua Teen Hunger Force: The Movie,5520368,5520368,12134593,750000,13/04/2007,2007,0,R,,First Look,Based on TV,Comedy,Science Fiction,,,,
Disturbia,80209692,117573043,34508128,20000000,13/04/2007,2007,0,PG-13,104,Paramount Pictures,Original Screenplay,Thriller/Suspense,Contemporary Fiction,D.J. Caruso,68,7,72231
Slow Burn,1237615,1237615,893953,15500000,13/04/2007,2007,0,R,93,Lionsgate,Original Screenplay,Thriller/Suspense,Contemporary Fiction,,12,5.9,2318
Hot Fuzz,23618786,79197493,33391776,16000000,20/04/2007,2007,0,R,121,Focus Features,Original Screenplay,Comedy,Contemporary Fiction,Edgar Wright,91,8,129779
In the Land of Women,11052958,14140402,9876018,10500000,20/04/2007,2007,0,PG-13,98,Warner Bros.,Original Screenplay,Comedy,Contemporary Fiction,,44,6.7,13550
Jindabyne,399879,2862544,,10800000,27/04/2007,2007,0,R,,Sony Pictures Classics,Based on Book/Short Story,Drama,Contemporary Fiction,,,6.4,3920
Ta Ra Rum Pum,872643,9443864,,7400000,27/04/2007,2007,0,Not Rated,,Yash Raj Films,Original Screenplay,Comedy,Contemporary Fiction,,67,5.1,1051
Waitress,19097550,22202180,23127549,1500000,02/05/2007,2007,0,PG-13,,Fox Searchlight,Original Screenplay,Romantic Comedy,Contemporary Fiction,Adrienne Shelly,89,7.2,20384
Lucky You,5755286,6521829,853973,55000000,04/05/2007,2007,0,PG-13,122,Warner Bros.,Original Screenplay,Drama,Historical Fiction,Curtis Hanson,28,5.9,9870
"Paris, je t'aime",4857374,4857374,,13000000,04/05/2007,2007,0,R,,First Look,Original Screenplay,Drama,Contemporary Fiction,Gurinder Chadha,,6.6,175
Spider-Man 3,336530303,890871626,124058348,258000000,04/05/2007,2007,0,PG-13,139,Sony Pictures,Based on Comic/Graphic Novel,Adventure,Super Hero,Sam Raimi,63,6.4,141513
28 Weeks Later,28638916,64238440,24422887,15000000,11/05/2007,2007,0,R,91,20th Century Fox,Original Screenplay,Horror,Science Fiction,,,7.1,69558
Georgia Rule,18882880,20819601,19382312,20000000,11/05/2007,2007,0,R,111,Universal,Original Screenplay,Drama,Contemporary Fiction,Garry Marshall,17,5.8,10902
The Salon,139084,139084,,1500000,11/05/2007,2007,0,PG-13,,Freestyle Releasing,Based on Play,Comedy,Contemporary Fiction,,12,3.5,308
Brooklyn Rules,458232,458232,,8000000,18/05/2007,2007,0,R,99,Lionsgate,Original Screenplay,Drama,Historical Fiction,,,6.4,2797
Shrek the Third,322719944,798958162,176400340,160000000,18/05/2007,2007,0,PG,92,Paramount Pictures,Based on Book/Short Story,Adventure,Kids Fiction,,41,6.1,59778
The Wendell Baker Story,127188,127188,,8000000,18/05/2007,2007,0,PG-13,,ThinkFilm,Original Screenplay,Comedy,Contemporary Fiction,Luke Wilson,,5.5,3535
Pirates of the Caribbean: At World's End,309420425,960996492,296060575,300000000,25/05/2007,2007,0,PG-13,167,Walt Disney Pictures,Disney Ride,Adventure,Fantasy,Gore Verbinski,45,7,133241
Bug,7006708,7006708,1251654,4000000,25/05/2007,2007,0,R,,Lionsgate,Based on Play,Drama,Contemporary Fiction,William Friedkin,,6,14164
And Then Came Love,8158,8158,,989000,01/06/2007,2007,0,Not Rated,,Fox Meadow,,Comedy,,,17,4.4,200
Gracie,2956339,3036736,,9000000,01/06/2007,2007,0,PG-13,98,Picturehouse,Based on Real Life Events,Drama,Dramatization,,59,6.2,2084
Knocked Up,148761765,218994109,117601397,27500000,01/06/2007,2007,0,R,132,Universal,Original Screenplay,Romantic Comedy,Contemporary Fiction,Judd Apatow,90,7.5,111192
Hostel: Part II,17544812,33606409,16230816,7500000,08/06/2007,2007,0,R,,Lionsgate,Original Screenplay,Horror,Contemporary Fiction,Eli Roth,45,5.4,31511
La MÙme,10299782,83499782,,15500000,08/06/2007,2007,0,PG-13,,Picturehouse,Based on Real Life Events,Drama,Dramatization,,,7.6,21412
Ocean's Thirteen,117144465,311744465,48258805,85000000,08/06/2007,2007,0,PG-13,122,Warner Bros.,Remake,Adventure,Contemporary Fiction,Steven Soderbergh,70,6.9,76884
Surf's Up,58867694,145395745,46260220,100000000,08/06/2007,2007,0,PG,86,Sony Pictures,Original Screenplay,Adventure,Kids Fiction,,77,7,20974
DOA: Dead or Alive,480314,2670860,1370874,30000000,15/06/2007,2007,0,PG-13,,Weinstein/Dimension,Based on Game,Action,Fantasy,Corey Yuen,34,4.9,16646
Fido,298110,419801,,8000000,15/06/2007,2007,0,R,93,Lionsgate,Original Screenplay,Horror,Fantasy,,,6.9,11683
Fantastic Four: Rise of the Silver Surfer,131921738,288215319,62277740,120000000,15/06/2007,2007,0,PG,92,20th Century Fox,Based on Comic/Graphic Novel,Action,Super Hero,Tim Story,36,,
Once,9445857,18997174,,150000,16/06/2007,2007,0,R,,Fox Searchlight,Original Screenplay,Drama,Contemporary Fiction,,97,8,34348
1408,71985628,128529299,49668544,22500000,22/06/2007,2007,0,PG-13,102,MGM,Based on Book/Short Story,Horror,Contemporary Fiction,,78,6.9,72913
Evan Almighty,100289690,173219280,38038256,175000000,22/06/2007,2007,0,PG,78,Universal,Original Screenplay,Comedy,Fantasy,Tom Shadyac,23,5.5,43164
A Mighty Heart,9176787,18932117,5455645,15000000,22/06/2007,2007,0,R,100,Paramount Vantage,Based on Book/Short Story,Drama,Dramatization,Michael Winterbottom,78,6.7,13881
Sicko,24538513,33538513,17438209,9000000,22/06/2007,2007,0,PG-13,,Lionsgate,Based on Real Life Events,Documentary,Factual,Michael Moore,93,8.2,40886
You Kill Me,2426851,2426851,,4000000,22/06/2007,2007,0,R,92,IFC Films,Original Screenplay,Black Comedy,Contemporary Fiction,John Dahl,78,6.7,9498
Live Free or Die Hard,134529403,383531464,100774964,110000000,27/06/2007,2007,0,PG-13,128,20th Century Fox,Based on Book/Short Story,Action,Contemporary Fiction,Len Wiseman,82,7.5,130559
Chacun sa nuit,18435,18435,,1900000,29/06/2007,2007,0,Not Rated,,Strand,Original Screenplay,Thriller/Suspense,,,,6.3,365
Ratatouille,206445654,620495432,189134287,150000000,29/06/2007,2007,0,G,111,Walt Disney Pictures,Original Screenplay,Comedy,Fantasy,Brad Bird,96,8.1,131929
License to Wed,43799818,70799818,22782913,35000000,03/07/2007,2007,0,PG,90,Warner Bros.,Original Screenplay,Romantic Comedy,Contemporary Fiction,Ken Kwapis,7,5.1,15422
Transformers,319246193,708272592,290787166,151000000,03/07/2007,2007,0,PG-13,140,Paramount Pictures,Based on TV,Action,Science Fiction,Michael Bay,57,7.3,197131
Rescue Dawn,5490423,7037886,24745520,10000000,04/07/2007,2007,0,PG-13,125,MGM,Based on Real Life Events,Action,Historical Fiction,Werner Herzog,,7.5,37764
Harry Potter and the Order of the Phoenix,292004738,938468864,220867077,150000000,11/07/2007,2007,0,PG-13,138,Warner Bros.,Based on Book/Short Story,Adventure,Fantasy,David Yates,78,7.4,104074
Cama adentro,200433,200433,,800000,18/07/2007,2007,0,Not Rated,,Film Sales Company,Original Screenplay,Drama,Historical Fiction,,,7.2,466
Hairspray,118823091,202823091,104104829,75000000,20/07/2007,2007,0,PG,117,New Line,Remake,Musical,Historical Fiction,Adam Shankman,91,7.2,41511
I Now Pronounce You Chuck and Larry,119725280,185708462,69334335,85000000,20/07/2007,2007,0,PG-13,115,Universal,Original Screenplay,Comedy,Contemporary Fiction,Dennis Dugan,14,6.1,46347
Sunshine,3688560,32030610,6342481,40000000,20/07/2007,2007,0,R,108,Fox Searchlight,Original Screenplay,Thriller/Suspense,Science Fiction,Danny Boyle,74,7.3,74535
MoliËre,635733,791154,,21600000,27/07/2007,2007,0,PG-13,120,Sony Pictures Classics,,Comedy,Dramatization,,,7.2,265
No End In Sight,1433319,1433319,,2000000,27/07/2007,2007,0,Not Rated,,Magnolia Pictures,Based on Real Life Events,Documentary,Factual,,94,8.3,4086
No Reservations,43107979,92107979,27029295,28000000,27/07/2007,2007,0,PG,103,Warner Bros.,Remake,Romantic Comedy,Contemporary Fiction,,40,6.3,16952
The Simpsons Movie,183135014,527071022,96359085,72500000,27/07/2007,2007,0,PG-13,86,20th Century Fox,Based on TV,Comedy,Contemporary Fiction,David Silverman,89,7.6,117656
Becoming Jane,18663911,37304637,8061456,16500000,03/08/2007,2007,1,PG,120,Miramax,Based on Real Life Events,Romantic Comedy,Dramatization,,58,7,15167
The Bourne Ultimatum,227471070,442161562,123314592,130000000,03/08/2007,2007,1,PG-13,114,Universal,Based on Book/Short Story,Action,Contemporary Fiction,Paul Greengrass,93,8.2,146025
"Gandhi, My Father",240425,1375194,,5000000,03/08/2007,2007,1,Not Rated,,Eros Entertainment,Based on Book/Short Story,Drama,Dramatization,,40,8.1,50881
Hot Rod,13938332,14334401,24152720,25000000,03/08/2007,2007,1,PG-13,83,Paramount Pictures,Original Screenplay,Comedy,Contemporary Fiction,,40,6.5,22250
Daddy Day Camp,13235267,18197398,5405521,76000000,08/08/2007,2007,1,PG,85,Sony Pictures,Original Screenplay,Comedy,Contemporary Fiction,,1,2.4,6809
Rush Hour 3,140125968,253025968,40854922,180000000,10/08/2007,2007,1,PG-13,91,New Line,Original Screenplay,Action,Contemporary Fiction,Brett Ratner,19,6,39312
Stardust,38634938,135556675,25129402,70000000,10/08/2007,2007,1,PG-13,128,Paramount Pictures,Based on Book/Short Story,Adventure,Fantasy,Matthew Vaughn,76,7.9,87883
Death at a Funeral,8580428,34743644,,20000000,17/08/2007,2007,1,R,90,MGM,Original Screenplay,Comedy,Contemporary Fiction,Frank Oz,61,5.1,6628
The Invasion,15074191,40147042,4845943,80000000,17/08/2007,2007,1,PG-13,99,Warner Bros.,Remake,Thriller/Suspense,Science Fiction,,19,6,28605
The Last Legion,5932060,21439015,,67000000,17/08/2007,2007,1,PG-13,101,Weinstein/Dimension,Based on Book/Short Story,Action,Historical Fiction,,17,5.4,12250
Superbad,121463226,169863226,134555373,17500000,17/08/2007,2007,1,R,112,Sony Pictures,Original Screenplay,Comedy,Contemporary Fiction,Greg Mottola,87,7.8,134212
Mr. Bean's Holiday,33302167,229736344,28248145,25000000,24/08/2007,2007,1,G,88,Universal,Based on TV,Comedy,Contemporary Fiction,,50,6,28950
September Dawn,901857,901857,,10100000,24/08/2007,2007,1,R,110,Black Diamond Pictures,Original Screenplay,Western,Historical Fiction,,13,5.5,1823
War,22466994,40666994,27148376,25000000,24/08/2007,2007,1,R,99,Lionsgate,Original Screenplay,Action,Contemporary Fiction,,,6.2,28771
Fong juk,51957,51957,,4500000,31/08/2007,2007,1,Not Rated,100,Magnolia Pictures,Original Screenplay,Action,Historical Fiction,,,7.3,3699
3:10 to Yuma,53606916,69791889,51359371,48000000,02/09/2007,2007,1,R,117,Lionsgate,Remake,Western,Historical Fiction,James Mangold,89,7.9,98355
The Brothers Solomon,900926,900926,,10000000,07/09/2007,2007,1,R,,Sony/Screen Gems,Original Screenplay,Comedy,Contemporary Fiction,,15,5.2,6044
Romance and Cigarettes,551002,3231251,,11000000,07/09/2007,2007,1,R,,Borotoro,Original Screenplay,Comedy,Contemporary Fiction,John Turturro,,6.2,5362
In the Shadow of the Moon,1134358,1134358,,2000000,07/09/2007,2007,1,PG,100,ThinkFilm,Based on Real Life Events,Documentary,Factual,,94,8,2974
Across the Universe,24343673,29367143,25759408,45000000,14/09/2007,2007,1,PG-13,133,Sony Pictures,Original Screenplay,Musical,Historical Fiction,,53,7.5,45611
D-War,10977721,79915361,7614486,32000000,14/09/2007,2007,1,PG-13,90,Freestyle Releasing,Traditional/Legend/Fairytale,Action,Fantasy,,,3.8,14081
Ira and Abby,221096,221096,,3500000,14/09/2007,2007,1,R,,Magnolia Pictures,Original Screenplay,Comedy,Contemporary Fiction,,,6.3,855
In the Valley of Elah,6777741,24489150,3182650,23000000,14/09/2007,2007,1,R,120,Warner Bros.,Based on Real Life Events,Drama,Dramatization,Paul Haggis,73,7.4,27529
Good Luck Chuck,35017297,59183821,26234476,25000000,21/09/2007,2007,1,R,96,Lionsgate,Original Screenplay,Romantic Comedy,Contemporary Fiction,,5,5.6,29013
The Assassination of Jesse James by the Coward Robert Ford,3909149,15001776,9871881,30000000,21/09/2007,2007,1,R,160,Warner Bros.,Based on Book/Short Story,Western,Dramatization,,75,7.7,57465
Into the Wild,18354356,53813837,15272435,20000000,21/09/2007,2007,1,R,147,Paramount Vantage,Based on Book/Short Story,Drama,Contemporary Fiction,Sean Penn,82,8.2,99464
