Title,US Gross,Worldwide Gross,US DVD Sales,Production Budget,Release Date,Release Year,Recession data,MPAA Rating,Running Time (min),Distributor,Source,Major Genre,Creative Type,Director,Rotten Tomatoes Rating,IMDB Rating,IMDB Votes
Prophecy,21000000,21000000,,12000000,15/06/1979,1979,0,,,,,,,John Frankenheimer,25,4.7,1381
Moonraker,70300000,210300000,,31000000,29/06/1979,1979,0,,,MGM,Based on Book/Short Story,Action,Contemporary Fiction,,64,6.1,26760
Apocalypse Now,78800000,78800000,3479242,31500000,15/08/1979,1979,0,R,,MGM,Based on Book/Short Story,Action,Historical Fiction,Francis Ford Coppola,98,8.6,173141
The Life of Brian,20008693,20008693,,4000000,17/08/1979,1979,0,Not Rated,,Rainbow Releasing,Original Screenplay,Comedy,Historical Fiction,,,,
Meteor,8400000,8400000,,16000000,19/10/1979,1979,0,,,,,,,Ronald Neame,9,4.7,2969
Star Trek: The Motion Picture,82258456,139000000,,35000000,07/12/1979,1979,0,PG,,Paramount Pictures,Based on TV,Adventure,Science Fiction,Robert Wise,48,6.2,25454
1941,34175000,94875000,,32000000,14/12/1979,1979,0,,,Universal,Original Screenplay,Comedy,Historical Fiction,Steven Spielberg,33,5.6,13364
The Black Hole,35841901,35841901,,20000000,21/12/1979,1979,0,,,Walt Disney Pictures,Original Screenplay,,Science Fiction,,42,5.6,7810
Dressed to Kill,31899000,31899000,,6500000,01/01/1980,1980,0,,,,,,,Brian De Palma,84,7.1,9556
The Fog,21378361,21378361,,1000000,01/02/1980,1980,0,,,Avco Embassy,,Horror,,John Carpenter,69,3.3,15760
Mad Max,8750000,99750000,,200000,21/03/1980,1980,0,,,,,Action,Science Fiction,George Miller,,6.9,36548
Friday the 13th,39754601,59754601,,550000,09/05/1980,1980,0,,,Paramount Pictures,,Horror,,,60,5.6,26798
Penitentiary,287000,287000,,100000,10/05/1980,1980,0,,,,Original Screenplay,Drama,Contemporary Fiction,,,5.5,233
Home Movies,89134,89134,,400000,16/05/1980,1980,0,,,,,,,,,5.3,291
The Long Riders,15198912,15198912,,10000000,16/05/1980,1980,0,,,United Artists,Original Screenplay,Action,Historical Fiction,Walter Hill,79,7.1,3791
Star Wars Ep. V: The Empire Strikes Back,290271960,534171960,10027926,23000000,21/05/1980,1980,0,PG,,20th Century Fox,Original Screenplay,Adventure,Science Fiction,,,,
The Shining,44017374,44017374,,19000000,23/05/1980,1980,0,,,Warner Bros.,Based on Book/Short Story,Horror,Fantasy,Stanley Kubrick,87,8.5,177762
The Island,15716828,15716828,,22000000,13/06/1980,1980,0,PG-13,138,Universal,Based on Book/Short Story,Adventure,Contemporary Fiction,Michael Ritchie,,6.9,82601
Can't Stop the Music,2000000,2000000,,20000000,20/06/1980,1980,0,,,,Original Screenplay,Musical,Contemporary Fiction,,,3.5,2146
The Blues Brothers,57229890,57229890,,27000000,20/06/1980,1980,0,,,Universal,Original Screenplay,Musical,Contemporary Fiction,John Landis,84,7.9,62941
Airplane!,83453539,83453539,,3500000,04/07/1980,1980,0,,,,Original Screenplay,Comedy,,Jerry Zucker,98,7.8,57000
Caddyshack,39846344,39846344,,6000000,25/07/1980,1980,0,,,Warner Bros.,Original Screenplay,Comedy,Contemporary Fiction,Harold Ramis,75,7.3,35436
Raise the Titanic,7000000,7000000,,40000000,01/08/1980,1980,0,PG,,,,,,,60,3.9,1757
Ordinary People,52302978,52302978,,6000000,19/09/1980,1980,0,,,Paramount Pictures,Based on Book/Short Story,Drama,Contemporary Fiction,Robert Redford,91,7,138
Terror Train,8000000,8000000,,3500000,03/10/1980,1980,0,,,,,,,Roger Spottiswoode,33,5.5,2479
The Elephant Man,26010864,26010864,,5000000,03/10/1980,1980,0,,,,,,,David Lynch,91,8.4,58194
Somewhere in Time,9709597,9709597,,5100000,03/10/1980,1980,0,,,Universal,Based on Book/Short Story,Drama,Fantasy,,63,7,8787
Lion of the Desert,1500000,1500000,,35000000,17/10/1980,1980,0,,,United Film Distribution Co.,,,,,,7.8,2659
Raging Bull,23380203,23380203,,18000000,14/11/1980,1980,0,Not Rated,,MGM,Based on Real Life Events,Drama,Dramatization,Martin Scorsese,98,8.4,90015
Heaven's Gate,3484331,3484331,,44000000,19/11/1980,1980,0,,,,,,,Michael Cimino,,6.5,4649
Flash Gordon,27107960,27107960,,35000000,05/12/1980,1980,0,,,Universal,Based on Comic/Graphic Novel,Action,Science Fiction,,81,6.2,14894
Popeye,49823037,49823037,,20000000,12/12/1980,1980,0,,,Paramount Pictures,,,,Robert Altman,56,4.9,11433
Maniac,10000000,10000000,,350000,26/12/1980,1980,0,,,,,,,,,6.2,3281
Sphinx,2000000,11400000,,10000000,11/02/1981,1981,0,,,Orion Pictures,Based on Book/Short Story,Thriller/Suspense,Contemporary Fiction,Franklin J. Schaffner,,4.9,478
